##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
NAME_SS_INFANTRY;Waffen-SS Infantry;Waffen-SS Infanterie;;;Waffen-SS Infanterie;;;;;;X
SNAME_SS_INFANTRY;SS Inf;SS Inf;;;SS Inf;;;;;;X
SDESC_SS_INFANTRY;Waffen-SS Infantry Division;Waffen-SS Division Infanterie;;;Waffen-SS Infanterie Division;;;;;;X
LDESC_SS_INFANTRY;The Waffen-SS was created as the armed wing of the NSDAP's Schutzstaffel. Waffen-SS infantry divisions fight better than regular Heer units in urban combats and against partisans.;La Waffen-SS a été créé comme la branche armée du Parti Schutzstaffel nazi.La Waffen-SS division d'infanterie se bat mieux que les unités régulières de l'armée dans les combats urbains et contre les partisans.;;;Die Waffen-SS war der militärische Verband der nationalsozialistischen Parteitruppe Schutzstaffel ( SS ). Die Infanterie der Waffen-SS sind im Stadt- und Partisanenkampf kampfstärker als die regulären Heerestruppen.;;;;;;X
MODEL_41_0;Waffen-SS Infantry 1936;Waffen-SS Infanterie 1936;;;Waffen-SS Infanterie 1936;;;;;;X
MODEL_41_1;Waffen-SS Infantry 1939;Waffen-SS Infanterie 1939;;;Waffen-SS Infanterie 1939;;;;;;X
MODEL_41_2;Waffen-SS Infantry 1942;Waffen-SS Infanterie 1942;;;Waffen-SS Infanterie 1942;;;;;;X
MODEL_41_3;Waffen-SS Infantry 1945;Waffen-SS Infanterie 1945;;;Waffen-SS Infanterie 1945;;;;;;X
MODEL_41_4;Waffen-SS Infantry 1948;Waffen-SS Infanterie 1948;;;Waffen-SS Infanterie 1948;;;;;;X
MODEL_41_5;Waffen-SS Infantry 1951;Waffen-SS Infanterie 1951;;;Waffen-SS Infanterie 1951;;;;;;X
MODEL_41_6;Waffen-SS Infantry 1954;Waffen-SS Infanterie 1954;;;Waffen-SS Infanterie 1954;;;;;;X
MODEL_41_7;Waffen-SS Infantry 1958;Waffen-SS Infanterie 1958;;;Waffen-SS Infanterie 1958;;;;;;X
MODEL_41_8;Waffen-SS Infantry 1962;Waffen-SS Infanterie 1962;;;Waffen-SS Infanterie 1962;;;;;;X
NAME_SS_MOTORIZED;Waffen-SS Motorized Infantry;Waffen-SS Infanterie Motorisée;;;Waffen-SS Motorisierte Infanterie;;;;;;X
SNAME_SS_MOTORIZED;SS Mot;SS Mot;;;SS Mot;;;;;;X
SDESC_SS_MOTORIZED;Waffen-SS Motorized Infantry Division;Waffen-SS Division Motorisée d'Infanterie;;;Waffen-SS Motorisierte Infanterie Division;;;;;;X
LDESC_SS_MOTORIZED;The Waffen-SS was created as the armed wing of the NSDAP's Schutzstaffel. Waffen-SS motorized infantry divisions fight better than regular Heer units in urban combats and against partisans.;La Waffen-SS a été créé comme la branche armée du Parti Schutzstaffel nazi.La Waffen-SS division Motorisée d'infanterie se bat mieux que les unités régulières de l'armée dans les combats urbains et contre les partisans.;;;Die Waffen-SS war der militärische Verband der nationalsozialistischen Parteitruppe Schutzstaffel ( SS ). Die Infanterie der Waffen-SS sind im Stadt- und Partisanenkampf kampfstärker als die regulären Heerestruppen.;;;;;;X
MODEL_42_0;Waffen-SS Motorized Infantry 1935;Waffen-SS Infanterie Motorisée 1935;;;Waffen-SS Motorisierte Infanterie 1935;;;;;;X
MODEL_42_1;Waffen-SS Motorized Infantry 1939;Waffen-SS Infanterie Motorisée 1939;;;Motorisierte Infanterie 1939;;;;;;X
MODEL_42_2;Waffen-SS Motorized Infantry 1942;Waffen-SS Infanterie Motorisée 1942;;;Waffen-SS Motorisierte Infanterie 1942;;;;;;X
MODEL_42_3;Waffen-SS Motorized Infantry 1945;Waffen-SS Infanterie Motorisée 1945;;;Waffen-SS Motorisierte Infanterie 1945;;;;;;X
MODEL_42_4;Waffen-SS Motorized Infantry 1948;Waffen-SS Infanterie Motorisée 1948;;;Waffen-SS Motorisierte Infanterie 1948;;;;;;X
MODEL_42_5;Waffen-SS Motorized Infantry 1952;Waffen-SS Infanterie Motorisée 1952;;;Waffen-SS Motorisierte Infanterie 1952;;;;;;X
MODEL_42_6;Waffen-SS Motorized Infantry 1956;Waffen-SS Infanterie Motorisée 1956;;;Waffen-SS Motorisierte Infanterie 1956;;;;;;X
MODEL_42_7;Waffen-SS Motorized Infantry 1960;Waffen-SS Infanterie Motorisée 1960;;;Waffen-SS Motorisierte Infanterie 1960;;;;;;X
NAME_SS_MECHANIZED;Waffen-SS Mechanized Infantry;Waffen-SS Infanterie Mécanisée;;;Waffen-SS Mechanisierte Infanterie;;;;;;X
SNAME_SS_MECHANIZED;SS Mech;SS Méc;;;SS Mech;;;;;;X
SDESC_SS_MECHANIZED;Waffen-SS Mechanized Infantry Division;Waffen-SS Division d'Infanterie Mécanisée;;;Waffen-SS Mechanisierte Infanterie Division;;;;;;X
LDESC_SS_MECHANIZED;The Waffen-SS was created as the armed wing of the NSDAP's Schutzstaffel. Waffen-SS mechanized infantry divisions fight better than regular Heer units in urban combats and against partisans.;La Waffen-SS a été créé comme la branche armée du Parti Schutzstaffel nazi.La Waffen-SS division Mécanisée d'infanterie se bat mieux que les unités régulières de l'armée dans les combats urbains et contre les partisans.;;;Die Waffen-SS war der militärische Verband der nationalsozialistischen Parteitruppe Schutzstaffel ( SS ). Die Infanterie der Waffen-SS sind im Stadt- und Partisanenkampf kampfstärker als die regulären Heerestruppen.;;;;;;X
MODEL_43_0;Waffen-SS Mechanized Infantry 1942;Waffen-SS Infanterie Mécanisée 1942;;;Waffen-SS Mechanisierte Infanterie 1942;;;;;;X
MODEL_43_1;Waffen-SS Mechanized Infantry 1945;Waffen-SS Infanterie Mécanisée 1945;;;Waffen-SS Mechanisierte Infanterie 1945;;;;;;X
MODEL_43_2;Waffen-SS Mechanized Infantry 1948;Waffen-SS Infanterie Mécanisée 1948;;;Waffen-SS Mechanisierte Infanterie 1948;;;;;;X
MODEL_43_3;Waffen-SS Mechanized Infantry 1952;Waffen-SS Infanterie Mécanisée 1952;;;Waffen-SS Mechanisierte Infanterie 1952;;;;;;X
MODEL_43_4;Waffen-SS Mechanized Infantry 1956;Waffen-SS Infanterie Mécanisée 1956;;;Waffen-SS Mechanisierte Infanterie 1956;;;;;;X
MODEL_43_5;Waffen-SS Mechanized Infantry 1960;Waffen-SS Infanterie Mécanisée 1960;;;Waffen-SS Mechanisierte Infanterie 1960;;;;;;X
NAME_SS_ARMOR;Waffen-SS Armored;Waffen-SS Blindé;;;Waffen-SS Panzer;;;;;;X
SNAME_SS_ARMOR;SS Arm;SS Blindé;;;SS Pz;;;;;;X
SDESC_SS_ARMOR;Waffen-SS Armored Division;Waffen-SS division Blindée;;;Waffen-SS Panzer Division;;;;;;X
LDESC_SS_ARMOR;The Waffen-SS was created as the armed wing of the NSDAP's Schutzstaffel. Waffen-SS armored divisions fight better than regular Heer units in urban combats and against partisans.;La Waffen-SS a été créé comme la branche armée du Parti Schutzstaffel nazi.La Waffen-SS division Blindée d'infanterie se bat mieux que les unités régulières de l'armée dans les combats urbains et contre les partisans.;;;Die Waffen-SS war der militärische Verband der nationalsozialistischen Parteitruppe Schutzstaffel ( SS ). Die Infanterie der Waffen-SS sind im Stadt- und Partisanenkampf kampfstärker als die regulären Heerestruppen.;;;;;;X
MODEL_44_0;Waffen-SS Basic Armor '39;Waffen-SS Blindé de base '39;;;Waffen-SS einfacher Panzer '39;;;;;;X
MODEL_44_1;Waffen-SS Improved Armor '41;Waffen-SS Blindé amélioré '41;;;Waffen-SS verbesserter Panzer '41;;;;;;X
MODEL_44_2;Waffen-SS Advanced Armor '43;Waffen-SS Blindé avancé '43;;;Waffen-SS fortschrittlicher Panzer '42;;;;;;X
MODEL_44_3;Waffen-SS Semi-Modern Armor '45;Waffen-SS Blindé Semi-Moderne '45;;;Waffen-SS halbmoderner Panzer '45;;;;;;X
MODEL_44_4;Waffen-SS Modern Armor '48;Waffen-SS Blindé Moderne '48;;;Waffen-SS moderner Panzer '48;;;;;;X
MODEL_44_5;Waffen-SS Advanced Modern Armor '52;Waffen-SS Blindé Moderne Avancé '52;;;Waffen-SS moderner Panzer '52;;;;;;X
MODEL_44_6;Waffen-SS Modern Armor '56;Waffen-SS Blindé Moderne '56;;;Waffen-SS moderner Panzer '56;;;;;;X
MODEL_44_7;Waffen-SS Modern Armor '62;Waffen-SS Blindé Moderne '62;;;Waffen-SS moderner Panzer '62;;;;;;X
NAME_GURKHAS;Gurkha Rifles;Gurkhas Infanterie;;;Ghurka Infanterie;;;;;;X
SNAME_GURKHAS;Gur;Gur;;;Gur;;;;;;X
SDESC_GURKHAS;Gurkha Rifles;Gurkhas Division D'infanterie;;;Ghurka Infanterie Division;;;;;;X
LDESC_GURKHAS;The Gurkhas are military units in the British army enlisted in Nepal. They excel in fighting in rough terrains, such as hills, mountains and jungle.;Les Gurkhas sont des unités militaires de l'armée britannique ils sont enrôlés au Népal. Ils excellent dans les combats en terrains accidentés, comme les collines, les montagnes et la jungle.;;;Die Gurkhas sind Nepali Söldner im Dienste Großbritanniens. Sie sind hervorragend im Gebirgs- und Hügelkampf, sowie im Dschungel und auf unwegsamem Gelände.;;;;;;X
MODEL_45_0;Gurkha Rifles 1870;Gurkhas Infanterie 1870;;;Ghurka Infanterie 1870;;;;;;X
MODEL_45_1;Gurkha Rifles 1897;Gurkhas Infanterie 1897;;;Ghurka Infanterie 1897;;;;;;X
MODEL_45_2;Gurkha Rifles 1907;Gurkhas Infanterie 1907;;;Ghurka Infanterie 1907;;;;;;X
MODEL_45_3;Gurkhas Infantry  1914;Gurkhas Infanterie 1914;;;Ghurka Infanterie 1914;;;;;;X
MODEL_45_4;Gurkha Rifles 1916;Gurkhas Infanterie 1916;;;Ghurka Infanterie 1916;;;;;;X
MODEL_45_5;Gurkha Rifles 1918;Gurkhas Infanterie 1918;;;Ghurka Infanterie 1918;;;;;;X
MODEL_45_6;Gurkha Rifles 1921;Gurkhas Infanterie 1921;;;Ghurka Infanterie 1921;;;;;;X
MODEL_45_7;Gurkha Rifles 1925;Gurkhas Infanterie 1925;;;Ghurka Infanterie 1928;;;;;;X
MODEL_45_8;Gurkha Rifles 1930;Gurkhas Infanterie 1930;;;Ghurka Infanterie 1930;;;;;;X
MODEL_45_9;Gurkha Rifles 1935;Gurkhas Infanterie 1935;;;Ghurka Infanterie 1935;;;;;;X
MODEL_45_10;Gurkha Rifles 1939;Gurkhas Infanterie 1939;;;Ghurka Infanterie 1939;;;;;;X
MODEL_45_11;Gurkha Rifles 1942;Gurkhas Infanterie 1942;;;Ghurka Infanterie 1942;;;;;;X
MODEL_45_12;Gurkha Rifles 1945;Gurkhas Infanterie 1945;;;Ghurka Infanterie 1945;;;;;;X
MODEL_45_13;Gurkha Rifles 1948;Gurkhas Infanterie 1948;;;Ghurka Infanterie 1948;;;;;;X
MODEL_45_14;Gurkha Rifles 1951;Gurkhas Infanterie 1951;;;Ghurka Infanterie 1951;;;;;;X
MODEL_45_15;Gurkha Rifles 1955;Gurkhas Infanterie 1955;;;Ghurka Infanterie 1955;;;;;;X
MODEL_45_16;Gurkha Rifles 1959;Gurkhas Infanterie 1959;;;Ghurka Infanterie 1959;;;;;;X
MODEL_45_17;Gurkha Rifles 1963;Gurkhas Infanterie 1963;;;Ghurka Infanterie 1963;;;;;;X
NAME_RANGERS;Rangers Battalion;Rangers Infanterie;;;Ranger Infanterie;;;;;;X
SNAME_RANGERS;Ran;Ran;;;Ran;;;;;;X
SDESC_RANGERS;Rangers Battalion;Rangers Division d'Infanterie;;;Ranger Infanterie Division;;;;;;X
LDESC_RANGERS;United States Army Rangers are elite members of the United States Army. They excel in fighting in rough terrains, such as woods or hills, and at night.;Les Rangers sont des membres d'élite de l'armée des États-Unis. Ils excellent dans les combats en terrains accidentés, comme les bois, les collines et la nuit.;;;Die United States Army Rangers sind die Elite des Amerikanischen Heers . Sie eignen sich hervorragend für den Kampf in unwegsamem Gelände, sowie in Wäldern, auf hügelgiem Gelände und bei Nacht.;;;;;;X
MODEL_46_0;Rangers Battalion 1870;Rangers Infanterie 1870;;;Ranger Infanterie 1870;;;;;;X
MODEL_46_1;Rangers Battalion 1897;Rangers Infanterie 1897;;;Ranger Infanterie 1897;;;;;;X
MODEL_46_2;Rangers Battalion 1907;Rangers Infanterie 1907;;;Ranger Infanterie 1907;;;;;;X
MODEL_46_3;Rangers Infantry  1914;Rangers Infanterie 1914;;;Ranger Infanterie 1914;;;;;;X
MODEL_46_4;Rangers Battalion 1916;Rangers Infanterie 1916;;;Ranger Infanterie 1916;;;;;;X
MODEL_46_5;Rangers Battalion 1918;Rangers Infanterie 1918;;;Ranger Infanterie 1918;;;;;;X
MODEL_46_6;Rangers Battalion 1921;Rangers Infanterie 1921;;;Ranger Infanterie 1921;;;;;;X
MODEL_46_7;Rangers Battalion 1925;Rangers Infanterie 1925;;;Ranger Infanterie 1925;;;;;;X
MODEL_46_8;Rangers Battalion 1930;Rangers Infanterie 1930;;;Ranger Infanterie 1930;;;;;;X
MODEL_46_9;Rangers Battalion 1935;Rangers Infanterie 1935;;;Ranger Infanterie 1935;;;;;;X
MODEL_46_10;Rangers Battalion 1939;Rangers Infanterie 1939;;;Ranger Infanterie 1939;;;;;;X
MODEL_46_11;Rangers Battalion 1942;Rangers Infanterie 1942;;;Ranger Infanterie 1942;;;;;;X
MODEL_46_12;Rangers Battalion 1945;Rangers Infanterie 1945;;;Ranger Infanterie 1945;;;;;;X
MODEL_46_13;Rangers Battalion 1948;Rangers Infanterie 1948;;;Ranger Infanterie 1948;;;;;;X
MODEL_46_14;Rangers Battalion 1951;Rangers Infanterie 1951;;;Ranger Infanterie 1951;;;;;;X
MODEL_46_15;Rangers Battalion 1955;Rangers Infanterie 1955;;;Ranger Infanterie 1955;;;;;;X
MODEL_46_16;Rangers Battalion 1959;Rangers Infanterie 1959;;;Ranger Infanterie 1959;;;;;;X
MODEL_46_17;Rangers Battalion 1963;Rangers Infanterie 1963;;;Ranger Infanterie 1963;;;;;;X
NAME_SKI_INFANTRY;Ski Infantry;Infanterie à Ski;;;Skijäger Infanterie;;;;;;X
SNAME_SKI_INFANTRY;Ski;Ski;;;Ski;;;;;;X
SDESC_SKI_INFANTRY;Ski Infantry Division;Division d'infanterie à Ski;;;Skijäger Division;;;;;;X
LDESC_SKI_INFANTRY;Ski infantry divisions are military units in the Red Army carrying arctic equipment. They excel in winter conditions.;Les Divisions d'Infanterie de ski sont des unités militaires dans l'Armée rouge portant l'équipements Arctique. Ils excellent dans les conditions hivernales.;;;Skijäger Divisionen sind militärische Verbände der roten Armee mit spezieller Winterausrüstung. Sie eignen sich für den Kampf im Winter bei Eis und Schnee.;;;;;;X
MODEL_47_0;Ski Infantry 1939;Infanterie à ski 1939;;;Skijäger Infanterie 1939;;;;;;X
MODEL_47_1;Ski Infantry 1942;Infanterie à ski 1942;;;Skijäger Infanterie 1942;;;;;;X
MODEL_47_2;Ski Infantry 1945;Infanterie à ski 1945;;;Skijäger Infanterie 1945;;;;;;X
MODEL_47_3;Ski Infantry 1948;Infanterie à ski 1948;;;Skijäger Infanterie 1948;;;;;;X
MODEL_47_4;Ski Infantry 1951;Infanterie à ski 1951;;;Skijäger Infanterie 1951;;;;;;X
MODEL_47_5;Ski Infantry 1954;Infanterie à ski 1954;;;Skijäger Infanterie 1954;;;;;;X
MODEL_47_6;Ski Infantry 1958;Infanterie à ski 1958;;;Skijäger Infanterie 1958;;;;;;X
MODEL_47_7;Ski Infantry 1962;Infanterie à ski 1962;;;Skijäger Infanterie 1962;;;;;;X
9300001name;Four Year Plan;Plan Quadriennal;;;Vierjahresplan;;;;;;X
